id_categoria;nome_categoria;appid 
25871;"Single-player;Steam Achievements";990500
25872;"Single-player;Steam Achievements";990640
25873;Single-player;990720
25874;Single-player;990750
25875;"Single-player;Steam Achievements";990850
25876;Single-player;990940
25877;Single-player;990950
25878;Single-player;990980
25879;"Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Partial Controller Support";991070
25880;Single-player;991090
25881;Single-player;991100
25882;Single-player;991140
25883;Single-player;991150
25884;"Single-player;Steam Achievements";991230
25885;"Single-player;Steam Achievements;Steam Leaderboards";991280
25886;"Single-player;Steam Achievements";991430
25887;Single-player;991480
25888;Single-player;991490
25889;Single-player;991500
25890;Single-player;991510
25891;"Single-player;Steam Workshop;Partial Controller Support;Includes level editor";991620
25892;"Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards";991750
25893;"Multi-player;Online Multi-Player;Co-op;Online Co-op;Stats;Steam Leaderboards";991780
25894;Single-player;991790
25895;"Single-player;Steam Achievements;Steam Cloud";991860
25896;Single-player;991960
25897;Single-player;992000
25898;"Single-player;Steam Achievements;Stats";992040
25899;"Single-player;Steam Achievements";992050
25900;"Single-player;Steam Achievements;In-App Purchases;Steam Cloud";992070
25901;"Single-player;Steam Achievements";992120
25902;"Single-player;Multi-player;Online Multi-Player;Steam Achievements";992210
25903;"Single-player;Steam Achievements;Full controller support;Steam Cloud";992300
25904;Single-player;992310
25905;"Single-player;Steam Achievements;Captions available";992330
25906;Local Multi-Player;992420
25907;"Full controller support;In-App Purchases";992490
25908;"Single-player;Captions available;Partial Controller Support";992520
25909;Single-player;992560
25910;Single-player;992620
25911;Single-player;992700
25912;"Single-player;Steam Achievements;Steam Leaderboards";992720
25913;"Single-player;Partial Controller Support";992730
25914;"Single-player;Steam Achievements;Steam Cloud";992740
25915;Single-player;992750
25916;"Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support";992790
25917;Single-player;992860
25918;"Single-player;Steam Achievements";992870
25919;"Single-player;Partial Controller Support";992880
25920;"Single-player;Steam Achievements;Partial Controller Support";992890
25921;"Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support";992950
25922;Single-player;992960
25923;"Single-player;Steam Achievements;Partial Controller Support";993170
25924;Single-player;993290
25925;"Single-player;Steam Achievements";993330
25926;"Single-player;Steam Achievements;Full controller support";993340
25927;Single-player;993360
25928;Single-player;993370
25929;"Single-player;Steam Achievements;Partial Controller Support";993400
25930;Single-player;993430
25931;Single-player;993460
25932;Single-player;993500
25933;"Single-player;Steam Achievements;Full controller support;Steam Cloud";993580
25934;"Single-player;Steam Achievements";993630
25935;Single-player;993640
25936;Single-player;993650
25937;"Single-player;Steam Cloud";993680
25938;Single-player;993690
25939;"Single-player;Steam Achievements";993750
25940;"Single-player;Steam Achievements";993780
25941;"Single-player;Steam Achievements;Steam Leaderboards";993810
25942;"Single-player;Online Multi-Player";993850
25943;"Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements";993890
25944;"Single-player;Steam Achievements";993970
25945;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";993990
25946;"Single-player;Partial Controller Support;Steam Cloud";994020
25947;Single-player;994170
25948;"Single-player;Steam Achievements";994190
25949;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards";994220
25950;Single-player;994260
25951;"Single-player;Steam Achievements;Partial Controller Support";994280
25952;Single-player;994320
25953;Single-player;994380
25954;Single-player;994400
25955;"Local Multi-Player;Local Co-op;Shared/Split Screen;Full controller support";994520
25956;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";994570
25957;Single-player;994590
25958;Single-player;994610
25959;Single-player;994650
25960;"Single-player;Steam Achievements";994770
25961;Single-player;994790
25962;"Single-player;Steam Achievements;Full controller support";994860
25963;Single-player;994870
25964;Single-player;994900
25965;"Single-player;In-App Purchases";994930
25966;"Single-player;Steam Achievements";995000
25967;"Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Partial Controller Support";995050
25968;"Single-player;Steam Achievements";995160
25969;"Single-player;Includes level editor";995170
25970;"Single-player;Steam Achievements";995280
25971;"Single-player;Steam Achievements;Steam Cloud";995330
25972;"Single-player;Steam Achievements";995340
25973;"Single-player;Steam Achievements";995450
25974;Single-player;995460
25975;"Single-player;Steam Achievements";995480
25976;"Single-player;Full controller support";995490
25977;Steam Cloud;995660
25978;"Single-player;Steam Achievements";995700
25979;"Single-player;Steam Achievements;Steam Leaderboards";995720
25980;Single-player;995740
25981;"Single-player;Steam Achievements;Partial Controller Support";995790
25982;Single-player;995850
25983;"Single-player;Steam Achievements";995870
25984;Single-player;995910
25985;Single-player;996050
25986;"Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support";996160
25987;Single-player;996280
25988;Single-player;996380
25989;"Single-player;Steam Achievements;Steam Cloud";996450
25990;"Single-player;Steam Achievements";996550
25991;Single-player;996710
25992;Single-player;996730
25993;Single-player;996830
25994;"Single-player;Steam Achievements";996860
25995;"Single-player;Full controller support";996920
25996;"Single-player;Partial Controller Support;Steam Cloud";996980
25997;Single-player;997000
25998;"Single-player;Steam Achievements;Full controller support;Steam Cloud";997030
25999;Single-player;997180
26000;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Partial Controller Support";997260
26001;"Single-player;Steam Achievements;Partial Controller Support";997270
26002;"Single-player;Steam Achievements";997280
26003;Single-player;997340
26004;Single-player;997370
26005;Single-player;997430
26006;Single-player;997480
26007;"Single-player;Captions available";997530
26008;"Multi-player;Online Multi-Player;Steam Achievements;Steam Workshop;Stats;Includes level editor";997560
26009;Single-player;997600
26010;"Single-player;Full controller support";997670
26011;"Single-player;Steam Achievements";997700
26012;Single-player;997720
26013;Single-player;997730
26014;Single-player;997790
26015;Single-player;997870
26016;"Single-player;Steam Cloud";997950
26017;"Single-player;Steam Cloud";998150
26018;"Single-player;Steam Cloud";998220
26019;Single-player;998330
